Continent;Year;Age;Value
Africa;2004;20-29;87.98138679068178
Africa;2004;30-39;90.60906377566843
Africa;2004;40-49;85.44005692344123
Africa;2004;50-59;86.81395648375255
Africa;2004;60-69;104.58294756715485
Africa;2004;70-79;113.0613390560112
Africa;2004;80-89;68.6242843186252
Africa;2004;90+;13.020277571178154
Africa;2005;0-9;426.71391364935863
Africa;2005;10-19;57.63525128206126
Africa;2005;20-29;86.45621964408076
Africa;2005;30-39;89.15465229148221
Africa;2005;40-49;84.719114857875
Africa;2005;50-59;86.80149040431282
Africa;2005;60-69;103.55250928560932
Africa;2005;70-79;112.14656787787044
Africa;2005;80-89;69.31971305979819
Africa;2005;90+;13.291547197357541
Africa;2006;0-9;405.91589784280137
Africa;2006;10-19;55.236414026666964
Africa;2006;20-29;83.68176334037007
Africa;2006;30-39;86.30171628747621
Africa;2006;40-49;83.02510430717774
Africa;2006;50-59;85.92481711223962
Africa;2006;60-69;102.39229886886818
Africa;2006;70-79;112.44688780945566
Africa;2006;80-89;71.02862329875026
Africa;2006;90+;13.938792152466348
Africa;2007;0-9;387.18920246387825
Africa;2007;10-19;53.06354541823221
Africa;2007;20-29;81.3755976929915
Africa;2007;30-39;84.09056740999164
Africa;2007;40-49;81.42768465620152
Africa;2007;50-59;84.98647079611524
Africa;2007;60-69;100.9640577085669
Africa;2007;70-79;112.23748133991418
Africa;2007;80-89;71.62464371337397
Africa;2007;90+;14.618904367657054
Africa;2008;0-9;369.61941229538826
Africa;2008;10-19;50.902104918840465
Africa;2008;20-29;78.4729560853267
Africa;2008;30-39;81.14700862436948
Africa;2008;40-49;79.58248011495908
Africa;2008;50-59;84.21427604369502
Africa;2008;60-69;100.58328252396373
Africa;2008;70-79;111.26343141458813
Africa;2008;80-89;71.87776971682885
Africa;2008;90+;15.7572781494326
Africa;2009;0-9;351.0319824773361
Africa;2009;10-19;48.518505684787876
Africa;2009;20-29;75.6782145885072
Africa;2009;30-39;79.05639204226867
Africa;2009;40-49;78.03398698818228
Africa;2009;50-59;82.84842861054263
Africa;2009;60-69;99.3293531894722
Africa;2009;70-79;109.82176483558948
Africa;2009;80-89;72.21555260658509
Africa;2009;90+;16.488371952467496
Africa;2010;0-9;334.9155641479771
Africa;2010;10-19;46.62986415903973
Africa;2010;20-29;72.10912248085687
Africa;2010;30-39;75.291164950406
Africa;2010;40-49;75.29315843075584
Africa;2010;50-59;81.0896192732131
Africa;2010;60-69;98.15783116564788
Africa;2010;70-79;108.217362409818
Africa;2010;80-89;73.09321412876423
Africa;2010;90+;16.62970860695055
Africa;2011;0-9;318.87002592101834
Africa;2011;10-19;44.69863130427422
Africa;2011;20-29;69.05491894645387
Africa;2011;30-39;72.59711928781397
Africa;2011;40-49;73.13454716804769
Africa;2011;50-59;79.93898355267574
Africa;2011;60-69;97.30953066109892
Africa;2011;70-79;107.24282632837804
Africa;2011;80-89;73.66539479586135
Africa;2011;90+;16.352413999623945
Africa;2012;0-9;302.0434310833984
Africa;2012;10-19;42.70653798099463
Africa;2012;20-29;65.30243263464159
Africa;2012;30-39;69.29864144175521
Africa;2012;40-49;70.45762213334777
Africa;2012;50-59;78.87796257527815
Africa;2012;60-69;96.39852591132873
Africa;2012;70-79;106.48392907487401
Africa;2012;80-89;74.53312879960384
Africa;2012;90+;16.70404136593082
Africa;2013;0-9;287.80388591663046
Africa;2013;10-19;41.128454749167396
Africa;2013;20-29;62.40553038636581
Africa;2013;30-39;66.55206199942074
Africa;2013;40-49;68.2963896265849
Africa;2013;50-59;77.86182226680175
Africa;2013;60-69;95.89697686711524
Africa;2013;70-79;105.49165114086287
Africa;2013;80-89;74.52134630337456
Africa;2013;90+;16.69521084654206
Africa;2014;0-9;275.5783685370096
Africa;2014;10-19;40.16536753251583
Africa;2014;20-29;60.415606732757254
Africa;2014;30-39;64.61551932254204
Africa;2014;40-49;66.64324421409236
Africa;2014;50-59;77.79617302377795
Africa;2014;60-69;96.71705728428988
Africa;2014;70-79;106.30827415742912
Africa;2014;80-89;74.09221443881346
Africa;2014;90+;17.325635987536167
Africa;2015;0-9;262.86466574226284
Africa;2015;10-19;38.85556183490225
Africa;2015;20-29;57.41425897046595
Africa;2015;30-39;62.019490211594245
Africa;2015;40-49;64.73636286991764
Africa;2015;50-59;76.99527154435295
Africa;2015;60-69;96.16396235415814
Africa;2015;70-79;105.83386118884573
Africa;2015;80-89;74.60038150387082
Africa;2015;90+;17.034670477889843
Africa;2016;0-9;249.96702990254295
Africa;2016;10-19;37.46431359100159
Africa;2016;20-29;54.73537327995459
Africa;2016;30-39;59.55821305810016
Africa;2016;40-49;62.83535186500467
Africa;2016;50-59;75.9116572458958
Africa;2016;60-69;95.45870404213662
Africa;2016;70-79;104.8536729130842
Africa;2016;80-89;73.67522331076299
Africa;2016;90+;17.021343539571497
Africa;2017;0-9;239.25533646079168
Africa;2017;10-19;36.630880892261
Africa;2017;20-29;52.61751664877396
Africa;2017;30-39;57.57067519244576
Africa;2017;40-49;61.462154799167976
Africa;2017;50-59;74.98883449086398
Africa;2017;60-69;95.53155160689937
Africa;2017;70-79;104.24849410926126
Africa;2017;80-89;73.10438602443149
Africa;2017;90+;16.87208774188871
Africa;2018;0-9;228.95763757226624
Africa;2018;10-19;35.842622768478684
Africa;2018;20-29;50.8239945499144
Africa;2018;30-39;56.20967293104983
Africa;2018;40-49;60.92745665975152
Africa;2018;50-59;74.97706045396572
Africa;2018;60-69;95.89640221665208
Africa;2018;70-79;104.77952886803007
Africa;2018;80-89;74.10156749914603
Africa;2018;90+;17.515283576822704
Africa;2019;0-9;219.640595076479
Africa;2019;10-19;35.20031873228299
Africa;2019;20-29;49.492050832578904
Africa;2019;30-39;54.98660507764203
Africa;2019;40-49;60.367572873962686
Africa;2019;50-59;74.69719594959744
Africa;2019;60-69;96.36565916136988
Africa;2019;70-79;105.91294723844985
Africa;2019;80-89;74.01893878435182
Africa;2019;90+;17.690162176462117
Africa;2020;0-9;209.37992060904506
Africa;2020;10-19;33.79616869839145
Africa;2020;20-29;46.918958519397925
Africa;2020;30-39;53.81435542391085
Africa;2020;40-49;62.846778133594015
Africa;2020;50-59;80.95957092580147
Africa;2020;60-69;107.9376948562266
Africa;2020;70-79;115.41725370516855
Africa;2020;80-89;79.57303196234598
Africa;2020;90+;18.829242710928785
Africa;2021;0-9;200.87307813792427
Africa;2021;10-19;34.20551051656098
Africa;2021;20-29;48.819817505479115
Africa;2021;30-39;57.015508185946516
Africa;2021;40-49;68.73260955178884
Africa;2021;50-59;88.84398017544162
Africa;2021;60-69;118.34340613658878
Africa;2021;70-79;127.27970544782235
Africa;2021;80-89;86.4940165053629
Africa;2021;90+;19.64333272086022
Asia;1950;0-9;1168.7041299777134
Asia;1950;10-19;99.07216291372167
Asia;1950;20-29;142.3435050522472
Asia;1950;30-39;122.75668415058337
Asia;1950;40-49;127.52161724234526
Asia;1950;50-59;147.57316027515398
Asia;1950;60-69;189.8708227780417
Asia;1950;70-79;193.6952777904402
Asia;1950;80-89;94.35215244556353
Asia;1950;90+;13.429994942597993
Asia;1951;0-9;1136.7875744662924
Asia;1951;10-19;94.02251524690949
Asia;1951;20-29;128.5829307113838
Asia;1951;30-39;112.71270025976959
Asia;1951;40-49;120.56684481255806
Asia;1951;50-59;141.576736168487
Asia;1951;60-69;182.29889394047967
Asia;1951;70-79;186.75788242861552
Asia;1951;80-89;90.72469484679247
Asia;1951;90+;12.377543877370874
Asia;1952;0-9;1095.031715781363
Asia;1952;10-19;84.36442185604623
Asia;1952;20-29;108.93032750302307
Asia;1952;30-39;98.61992094112274
Asia;1952;40-49;110.14937438875403
Asia;1952;50-59;133.45496985852242
Asia;1952;60-69;173.15412604990553
Asia;1952;70-79;179.85437343163235
Asia;1952;80-89;88.1069626122691
Asia;1952;90+;11.825437563578198
Asia;1953;0-9;1069.5294465292322
Asia;1953;10-19;80.88409825307514
Asia;1953;20-29;103.57301381295458
Asia;1953;30-39;93.92405663837269
Asia;1953;40-49;106.08892346329866
Asia;1953;50-59;130.45966019472084
Asia;1953;60-69;167.76608148960185
Asia;1953;70-79;175.06696823660184
Asia;1953;80-89;86.20812323624465
Asia;1953;90+;11.420190862574994
Asia;1954;0-9;1042.2705960841924
Asia;1954;10-19;76.46532502599239
Asia;1954;20-29;96.93957805316768
Asia;1954;30-39;88.93876256892165
Asia;1954;40-49;101.30604415986288
Asia;1954;50-59;126.8834038346047
Asia;1954;60-69;162.17973489194029
Asia;1954;70-79;169.71072577222017
Asia;1954;80-89;84.24144904204599
Asia;1954;90+;11.045046711264504
Asia;1955;0-9;1013.5534819521962
Asia;1955;10-19;73.9369328263766
Asia;1955;20-29;94.31621295409509
Asia;1955;30-39;86.94728418951654
Asia;1955;40-49;98.30933163287787
Asia;1955;50-59;124.40636675885219
Asia;1955;60-69;158.01309073960266
Asia;1955;70-79;165.60211898172045
Asia;1955;80-89;83.08720072296579
Asia;1955;90+;10.973085096944674
Asia;1956;0-9;985.0347506972925
Asia;1956;10-19;71.52227941306066
